The number is 0, 
The number is 1, 
The number is 2, 
The number is 3, 
The number is 4, 
The number is 5, 
The number is 6, 
The number is 7, 
The number is 8, 
The number is 9, 
The number is 10, 
The number is 11, 
The number is 12, 
The number is 13, 
The number is 14, 
The number is 15, 
The number is 16, 
The number is 17, 
The number is 18, 
The number is 19, 
The number is 20, 
The number is 21, 
The number is 22, 
The number is 23, 
The number is 24, 
The number is 25, 
The number is 26, 
The number is 27, 
The number is 28, 
The number is 29, 
The number is 30, 
The number is 31, 
The number is 32, 
The number is 33, 
The number is 34, 
The number is 35, 
The number is 36, 
The number is 37, 
The number is 38, 
The number is 39, 
The number is 40, 
The number is 41, 
The number is 42, 
The number is 43, 
The number is 44, 
The number is 45, 
The number is 46, 
The number is 47, 
The number is 48, 
The number is 49, 
The number is 50, 
The number is 51, 
The number is 52, 
The number is 53, 
The number is 54, 
The number is 55, 
The number is 56, 
The number is 57, 
The number is 58, 
The number is 59, 
The number is 60, 
The number is 61, 
The number is 62, 
The number is 63, 
The number is 64, 
The number is 65, 
The number is 66, 
The number is 67, 
The number is 68, 
The number is 69, 
The number is 70, 
The number is 71, 
The number is 72, 
The number is 73, 
The number is 74, 
The number is 75, 
The number is 76, 
The number is 77, 
The number is 78, 
The number is 79, 
The number is 80, 
The number is 81, 
The number is 82, 
The number is 83, 
The number is 84, 
The number is 85, 
The number is 86, 
The number is 87, 
The number is 88, 
The number is 89, 
The number is 90, 
The number is 91, 
The number is 92, 
The number is 93, 
The number is 94, 
The number is 95, 
The number is 96, 
The number is 97, 
The number is 98, 
The number is 99, 
